Phase,,Z,
X,Y,X,Y
0.17011225033864918,73.36565092014422,0.1570714998441796,1476.8326261783336
0.22211572437202137,68.96754424670294,0.2092877843795245,1192.1236234029261
0.3083978922822919,65.41537971270284,0.25342038134581407,974.5085170083972
0.36680062119548607,61.129537023418465,0.3168026529720056,804.8694546870896
0.4852390448573931,56.82371794871794,0.40887041726327306,668.8474870337986
0.6286766097904115,51.94766387213805,0.5111318680166423,561.0064348108413
0.7830974084642169,46.32930547384419,0.6596747160794388,486.23720069620913
1.062846633271619,41.18947230801914,0.8650705421867988,416.91658558868266
1.2435343912666355,36.104574202088536,1.209128416741136,360.0116896828886
1.5276288794666375,31.26302479122745,1.9716649404645477,310.73693368194586
1.9818594540804852,27.431190861401177,4.062165434573273,270.62810136175426
2.588310438898638,23.242203374134533,8.193114522753316,247.84145948120045
4.198128068689222,19.52296361665384,16.524961049500668,224.22864099505364
6.894633757565723,16.195745289339925,33.32973522207635,204.60790786713187
18.278064897135064,12.680748939114139,67.22383469746666,193.16301842815733
49.61348138523175,9.845298487068703,135.5859541434064,180.68706058540306
91.35781945583756,9.038462122114126,273.4677520809549,170.64997608235922
189.24283260556132,9.234153523153623,551.5660667115452,157.02398040461935
361.3062924449797,10.25464143238203,1112.4716667052837,140.68151604769037
763.2223731253142,12.158305671633741,2243.780544007344,128.2055582049361
1556.3120893746902,13.554380130434268,4525.554475087271,113.74677650875878
3024.232921708266,14.14934476566087,9127.739057048973,97.9000181151855
5882.126910664707,13.821904113601406,18410.035886701222,87.76379241947052
12912.60110583516,11.574870078933174,37131.804407563875,83.5562100454897
17734.549351376307,9.376736552166747,68059.48262029901,79.45777722412504
28998.267968602664,7.804881122538134,,
51246.2951044237,6.245308814477056,,
73798.25178014851,5.086695755911819,,
13.70838526135592,13.948717948717942,,
